OBJECTID,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,OPERACAO,PROPRIETARIO,UF,LATITUDE,LONGITUDE
1830,3.15,182.5,120.0,125.0,2022-10-24 15:37:27,33005,Ventos de Santa Ângela 01,VSA01-08,True,Enel Green Power Ventos de Santa Ângela 1 S.A.,PI,-8.535870400722605,-41.572422877999934
1831,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30516,Renascença II,UG1,True,Energisa Geração - Central Eólica Renascença II S.A.,RN,-5.3136037118257455,-35.88921275599996
1832,2.0,139.0,98.0,82.0,2022-10-24 15:37:27,30304,Santa Clara VI,SC-VI-02,True,Santa Clara VI Energias Renováveis Ltda.,RN,-5.245581243827909,-35.920435184999974
1833,2.42,130.0,80.0,100.0,2022-10-24 15:37:27,30456,São Pedro do Lago,SPL-03,True,São Pedro do Lago S.A.,BA,-9.88378591068045,-41.10126953399998
1834,2.0,123.0,78.0,90.0,2022-10-24 15:37:27,30437,Caetité 2,C2-27,True,Caetité 2 Energia Renovável S.A.,BA,-14.194447332550848,-42.51372735399997
1835,1.5,120.0,80.0,82.0,2022-10-24 15:37:27,30302,Morro dos Ventos IX,AG_18_MV9,True,Desa Morro dos Ventos IX S.A,RN,-5.3098005058258195,-35.938436586999956
1836,3.0,162.5,100.0,125.0,2022-10-24 15:37:27,31813,Itarema IV,ITA-IV-05,True,Eólica Itarema IV S.A.,CE,-2.950924369902786,-39.86430969799994
1837,1.6,121.0,80.0,82.0,2022-10-24 15:37:27,30300,Morro dos Ventos VI,AG_12_MV6,True,Desa Morro dos Ventos VI S.A,RN,-5.343080939824743,-35.87812743499995
1838,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30514,Ventos de São Miguel,UG11,True,Energisa Geração - Central Eólica Ventos de São Miguel S.A.,RN,-5.2809377878267805,-35.88031783599996
1839,2.1,143.7,96.2,95.0,2022-10-24 15:37:27,30295,Colônia,AEG-04,True,Central Geradora Eólica Colônia S.A.,CE,-3.5318556868837794,-38.87952112199998
1840,3.0,125.0,75.0,100.0,2022-10-24 15:37:27,31408,Jacarandá do Cerrado,JCE - 02,True,Centrais Eólicas Jacarandá do Cerrado S.A.,BA,-14.557838188540313,-42.58146717599994
1841,2.7,148.0,90.0,116.0,2022-10-24 15:37:27,40572,Delta 7 I,D7-I-10,True,Delta 7 I Energia S.A.,MA,-2.6678861239120866,-42.60911994799994
1842,2.2,135.0,80.0,110.0,2022-10-24 15:37:27,32527,Ventos da Bahia III,AEG5,True,Parque Eólico Ventos da Bahia III S.A.,BA,-11.969516822616615,-41.518519965999985
1843,2.0,145.0,100.0,90.0,2022-10-24 15:37:27,30745,Verace I,UG4,True,Eólica Geribatu I S.A.,RS,-33.50478954913107,-53.26392786399998
1844,2.0,138.5,90.0,97.0,2022-10-24 15:37:27,30838,Delta do Parnaíba,2,True,Porto do Parnaíba Energia S.A.,PI,-2.835272699906609,-41.70980189399995
1845,1.6,130.0,80.0,100.0,2022-10-24 15:37:27,30564,União dos Ventos 3,6,True,Ponta do Vento Leste Geradora Eólica S.A.,RN,-5.074459961833456,-35.807395061999955
1846,3.0,182.5,120.0,125.0,2021-03-23 17:48:10,33016,Ventos de Santa Ângela 12,VSA12-06,True,Enel Green Power Ventos de Santa Ângela ACL 12 S.A.,PI,-8.77376505171509,-41.436279236999944
1847,2.0,133.0,98.0,70.0,2022-10-24 15:37:27,28811,Sangradouro,SG-03,True,Ventos do Sul Energia S.A.,RS,-29.91675225218378,-50.30887137999997
1848,2.3499999,144.0,98.0,92.0,2022-10-24 15:37:27,31519,Casa Nova II,CNII-06,True,Companhia Hidroelétrica do São Francisco,BA,-9.282364894699166,-41.05799778399995
1849,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30324,Pindaí,PND_12,True,Centrais Eólicas Pindaí S.A.,BA,-14.214551221550245,-42.657069399999955
1850,2.3499999,144.0,98.0,92.0,2022-10-24 15:37:27,31524,Casa Nova III,CNIII-11,True,Companhia Hidroelétrica do São Francisco,BA,-9.332518770697623,-41.125026712999954
1851,1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29056,Salto,AEG 17,True,Salto Energia Eólica S.A.,SC,-26.601930502243885,-51.74940049099997
1852,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30754,Chuí IV,UG44,True,Eólica Chuí IV S.A.,RS,-33.700064372128615,-53.37542278899997
1853,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 46,True,CPFL Energias Renováveis S.A.,CE,-2.895740969904622,-41.05382292599995
1854,2.0,133.0,98.0,70.0,2022-10-24 15:37:27,28810,Osório,OS-07,True,Ventos do Sul Energia S.A.,RS,-29.96708697718293,-50.29246248199996
